"city_id","name_en","name_ar","country_code","state_code","state_name","country_name","status"
"2109","East Ahmadi","شرق الأحمدي","KW","KW-AH","Ahmadi","Kuwait","1"
"2108","Dhaher","الظهر","KW","KW-AH","Ahmadi","Kuwait","1"
"2107","Ali Subah Al-Salem - Um Al Himan","علي صباح السالم - أم الهيمان","KW","KW-AH","Ahmadi","Kuwait","1"
"2106","Al-Nuwaiseeb","النويصيب","KW","KW-AH","Ahmadi","Kuwait","0"
"2105","Al-Fintas","الفنطاس","KW","KW-AH","Ahmadi","Kuwait","1"
"2104","Al Shadadyia Industrial","صناعية الشدادية","KW","KW-AH","Ahmadi","Kuwait","0"
"2103","Abu Halifa","أبو حليفة","KW","KW-AH","Ahmadi","Kuwait","1"
"2102","Wista","الوسطى","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2101","West Abu Ftirah Hirafyia","غرب أبو فطيرة الحرفية","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2100","Subhan Industrial","صناعية صبحان","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2099","Sabah Al-Salem","صباح السالم","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2098","Mubarak Al-Kabeer","مبارك الكبير","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2097","Messila","المسيلة","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2096","Al-Qusour","القصور","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2095","Al-Qurain","القرين","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2094","Al-Fnaitees","الفنيطيس","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2093","Al-Adan","العدان","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2092","Al Masayel","المسايل","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2091","Abu Hassaniah","أبو الحصانية","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2090","Abu Ftaira","أبو فطيرة","KW","KW-MAK","Mubarak Al-Kabeer","Kuwait","1"
"2089","West Abdullah Al-Mubarak","غرب عبد الله المبارك","KW","KW-FA","Farwaniya","Kuwait","1"
"2088","South Khitan Shows","معارض جنوب خيطان","KW","KW-FA","Farwaniya","Kuwait","0"
"2087","Sabah Al-Salem University City","صباح السالم الجامعية","KW","KW-FA","Farwaniya","Kuwait","0"
"2086","Sabah Al-Nasser","صباح الناصر","KW","KW-FA","Farwaniya","Kuwait","1"
"2085","Riggai","الرقعي","KW","KW-FA","Farwaniya","Kuwait","1"
"2084","Rehab","الرحاب","KW","KW-FA","Farwaniya","Kuwait","1"
"2083","Rai","الري","KW","KW-FA","Farwaniya","Kuwait","1"
"2082","Rabiya","الرابية","KW","KW-FA","Farwaniya","Kuwait","1"
"2081","Omariya","العمرية","KW","KW-FA","Farwaniya","Kuwait","1"
"2080","Khaitan","خيطان","KW","KW-FA","Farwaniya","Kuwait","1"
"2079","Jleeb Al-Shiyoukh","جليب الشيوخ","KW","KW-FA","Farwaniya","Kuwait","1"
"2078","International Airport","المطار","KW","KW-FA","Farwaniya","Kuwait","0"
"2077","Ferdous","الفردوس","KW","KW-FA","Farwaniya","Kuwait","1"
"2076","Farwaniya","الفروانية","KW","KW-FA","Farwaniya","Kuwait","1"
"2075","Dajeej","الضجيج","KW","KW-FA","Farwaniya","Kuwait","1"
"2074","Ashbeliah","اشبيلية","KW","KW-FA","Farwaniya","Kuwait","1"
"2073","Ardhiya Herafiya","العارضية الحرفية","KW","KW-FA","Farwaniya","Kuwait","1"
"2072","Ardhiya 6","العارضية ٦","KW","KW-FA","Farwaniya","Kuwait","0"
"2071","Ardhiya 4","العارضية ٤","KW","KW-FA","Farwaniya","Kuwait","0"
"2070","Ardhiya","العارضية","KW","KW-FA","Farwaniya","Kuwait","1"
"2069","Andalus","الأندلس","KW","KW-FA","Farwaniya","Kuwait","1"
"2068","Abdullah Mubarak Al-Sabah","عبد الله المبارك","KW","KW-FA","Farwaniya","Kuwait","1"
"2067","Yarmouk","اليرموك","KW","KW-CG","Capital Governorate","Kuwait","1"
"2066","Umm Al-Maradim Island","جزيرة المرادم","KW","KW-CG","Capital Governorate","Kuwait","0"
"2065","The Sea Front","الواجهة البحرية","KW","KW-CG","Capital Governorate","Kuwait","0"
"2064","Sulaibikhat Cemetery","مقبرة الصليبخات","KW","KW-CG","Capital Governorate","Kuwait","0"
"2063","Sulaibikhat","الصليبخات","KW","KW-CG","Capital Governorate","Kuwait","1"
"2062","Shuwaikh Industrial-3","صناعية الشويخ ٣","KW","KW-CG","Capital Governorate","Kuwait","1"
"2061","Shuwaikh Industrial-2","صناعية الشويخ ٢","KW","KW-CG","Capital Governorate","Kuwait","1"
"2060","Shuwaikh Industrial-1","صناعية الشويخ ١","KW","KW-CG","Capital Governorate","Kuwait","1"
"2059","Shuwaikh","الشويخ السكنية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2058","Sharq","شرق","KW","KW-CG","Capital Governorate","Kuwait","1"
"2057","Shamiya","الشامية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2056","Shalehat Doha","شاليهات الدوحة","KW","KW-CG","Capital Governorate","Kuwait","0"
"2055","Rawda","الروضة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2054","Qortuba","قرطبة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2053","Qibla","القبلة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2052","Qaruh Island","جزيرة قاروه","KW","KW-CG","Capital Governorate","Kuwait","0"
"2051","Qadsiya","القادسية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2050","Nuzha","النزهة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2049","Northwest Sulaibikhat","شمال غرب الصليبخات","KW","KW-CG","Capital Governorate","Kuwait","1"
"2048","Mubarakiya Camps","مخيمات المباركية","KW","KW-CG","Capital Governorate","Kuwait","0"
"2047","Mischan Island","جزيرة مشعان","KW","KW-CG","Capital Governorate","Kuwait","0"
"2046","Mirqab","المرقاب","KW","KW-CG","Capital Governorate","Kuwait","1"
"2045","Mina Doha","ميناء الدوحة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2044","Mansouriya","المنصورية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2043","Kubbar Island","جزيرة كبر","KW","KW-CG","Capital Governorate","Kuwait","0"
"2042","Kifan","كيفان","KW","KW-CG","Capital Governorate","Kuwait","1"
"2041","Khaldiya","الخالدية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2040","Jaber Al-Ahmad","جابر الأحمد","KW","KW-CG","Capital Governorate","Kuwait","1"
"2039","Health Area","المنطقة الصحية","KW","KW-CG","Capital Governorate","Kuwait","0"
"2038","Ghornata","غرناطة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2037","Failaka Island","جزيرة فيلكا","KW","KW-CG","Capital Governorate","Kuwait","0"
"2036","Faiha","الفيحاء","KW","KW-CG","Capital Governorate","Kuwait","1"
"2035","Dasman","دسمان","KW","KW-CG","Capital Governorate","Kuwait","1"
"2034","Dasma","الدسمة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2033","Daiya","الدعية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2032","Bnaid Al-Qar","بنيد القار","KW","KW-CG","Capital Governorate","Kuwait","1"
"2031","Auha Island","جزيرة عوهة","KW","KW-CG","Capital Governorate","Kuwait","0"
"2030","Al Sour Gardens","حدائق السور","KW","KW-CG","Capital Governorate","Kuwait","0"
"2029","Adailiya","العديلية","KW","KW-CG","Capital Governorate","Kuwait","1"
"2028","Abdulla Al-Salem","عبد الله السالم","KW","KW-CG","Capital Governorate","Kuwait","1"
"2027","Warba Island","جزيرة وربة","KW","KW-JA","Jahra","Kuwait","0"
"2026","Waha","الواحة","KW","KW-JA","Jahra","Kuwait","1"
"2025","Umm Al-Aish","أم العيش","KW","KW-JA","Jahra","Kuwait","0"
"2024","Taima","تيماء","KW","KW-JA","Jahra","Kuwait","1"
"2023","Surra","السرة","KW","KW-CG","Capital Governorate","Kuwait","1"
"2022","Sulaibiya Industrial 2","صناعية الصليبية ٢","KW","KW-JA","Jahra","Kuwait","1"
"2021","Sulaibiya Industrial 1","صناعية الصليبية ١","KW","KW-JA","Jahra","Kuwait","1"
"2020","Sulaibiya Agricultural","مزارع الصليبية","KW","KW-JA","Jahra","Kuwait","0"
"2019","Sulaibiya","الصليبية","KW","KW-JA","Jahra","Kuwait","1"
"2018","Subiya","الصبية","KW","KW-JA","Jahra","Kuwait","0"
"2017","South Amghara","جنوب أمغرة","KW","KW-JA","Jahra","Kuwait","1"
"2016","South Al Mutlaa 9","جنوب المطلاع ٩","KW","KW-JA","Jahra","Kuwait","0"
"2015","South Al Mutlaa 8","جنوب المطلاع ٨","KW","KW-JA","Jahra","Kuwait","0"
"2014","South Al Mutlaa 7","جنوب المطلاع ٧","KW","KW-JA","Jahra","Kuwait","0"
"2013","South Al Mutlaa 6","جنوب المطلاع ٦","KW","KW-JA","Jahra","Kuwait","0"
"2012","South Al Mutlaa 5","جنوب المطلاع ٥","KW","KW-JA","Jahra","Kuwait","0"
"2011","South Al Mutlaa 4","جنوب المطلاع ٤","KW","KW-JA","Jahra","Kuwait","0"
"2010","South Al Mutlaa 3","جنوب المطلاع ٣","KW","KW-JA","Jahra","Kuwait","0"
"2009","South Al Mutlaa 2","جنوب المطلاع ٢","KW","KW-JA","Jahra","Kuwait","0"
"2008","South Al Mutlaa 12","جنوب المطلاع ١٢","KW","KW-JA","Jahra","Kuwait","0"
"2007","South Al Mutlaa 11","جنوب المطلاع ١١","KW","KW-JA","Jahra","Kuwait","0"
"2006","South Al Mutlaa 10","جنوب المطلاع ١٠","KW","KW-JA","Jahra","Kuwait","0"
"2005","South Al Mutlaa 1","جنوب المطلاع ١","KW","KW-JA","Jahra","Kuwait","0"
"2004","South Al Mutlaa","جنوب المطلاع","KW","KW-JA","Jahra","Kuwait","0"
"2003","Shalehat Subiya","شالهيات الصبية","KW","KW-JA","Jahra","Kuwait","0"
"2002","Shalehat Kazima","شالهيات كاظمة","KW","KW-JA","Jahra","Kuwait","0"
"2001","Salmy","السالمي","KW","KW-JA","Jahra","Kuwait","0"
"2000","Saad Al-Abdulla City","سعد العبد الله","KW","KW-JA","Jahra","Kuwait","1"
"1999","Rawdatain","الروضتين","KW","KW-JA","Jahra","Kuwait","0"
"1998","Qasr","القـصـر","KW","KW-JA","Jahra","Kuwait","1"
"1997","Oyoun","العيون","KW","KW-JA","Jahra","Kuwait","1"
"1996","North West Jahra","شمال غرب الجهراء","KW","KW-JA","Jahra","Kuwait","0"
"1995","Nasseem","النسيم","KW","KW-JA","Jahra","Kuwait","1"
"1994","Nahda","النهضة","KW","KW-JA","Jahra","Kuwait","1"
"1993","Naeem","النعيم","KW","KW-JA","Jahra","Kuwait","1"
"1992","Kazima","كاظمة","KW","KW-JA","Jahra","Kuwait","0"
"1991","Qaerawan","القيروان","KW","KW-JA","Jahra","Kuwait","1"
"1990","Kabd","كبد","KW","KW-JA","Jahra","Kuwait","0"
"1989","Jawakher Al Jahra","جواخير الجهراء","KW","KW-JA","Jahra","Kuwait","0"
"1988","Jahra Industrial Herafiya 1","صناعية الجهراء ١","KW","KW-JA","Jahra","Kuwait","1"
"1987","Jahra Camps","مخيمات الجهراء","KW","KW-JA","Jahra","Kuwait","0"
"1986","Jahra","الجهراء","KW","KW-JA","Jahra","Kuwait","1"
"1985","Bubyan Island","جزيرة بوبيان","KW","KW-JA","Jahra","Kuwait","0"
"1984","Bhaith","بحيث","KW","KW-JA","Jahra","Kuwait","0"
"1983","Bar Al-Jahra Governorate","بر الجهراء","KW","KW-JA","Jahra","Kuwait","0"
"1982","Amghara Industrial","صناعية أمغرة","KW","KW-JA","Jahra","Kuwait","1"
"1981","Al Sheqaya","الشقاية","KW","KW-JA","Jahra","Kuwait","0"
"1980","Al Naayem","النعايم","KW","KW-JA","Jahra","Kuwait","0"
"1979","Al Mutlaa","المطلاع","KW","KW-JA","Jahra","Kuwait","0"
"85","Other Area","مناطق أخرى","QA","","Other Area","Qatar","1"
"84","Jariyan Al Batnah","جريان الباطنة","QA","","Jariyan Al Batnah","Qatar","1"
"83","Al Wakrah","الوكرة","QA","","Al Wakrah","Qatar","1"
"82","Al Ghuwariyah","الغويرية","QA","","Al Ghuwariyah","Qatar","1"
"81","Ash Shamal","الشمال","QA","","Ash Shamal","Qatar","1"
"80","Ar Rayyan","الريان","QA","","Ar Rayyan","Qatar","1"
"79","Doha","الدوحة","QA","","Doha","Qatar","1"
"78","Al Khawr","الخور","QA","","Al Khawr","Qatar","1"
"77","Al Jumayliyah","الجميلية","QA","","Al Jumayliyah","Qatar","1"
"76","Um Salal","أم صلال","QA","","Um Salal","Qatar","1"
"75","Um Sa'id","أم سعيد","QA","","Um Sa'id","Qatar","1"
"74","Musandam","مسندم","OM","","Musandam","Oman","1"
"73","Masqat","مسقط","OM","","Masqat","Oman","1"
"72","Az Zahirah","الزاهرة","OM","","Az Zahirah","Oman","1"
"71","Ash Sharqiyah","الشرقية","OM","","Ash Sharqiyah","Oman","1"
"70","Al Wusta","الوسطى","OM","","Al Wusta","Oman","1"
"69","Al Batinah","الباطنة","OM","","Al Batinah","Oman","1"
"68","Ad Dakhiliyah","الداخلية","OM","","Ad Dakhiliyah","Oman","1"
"67","Ajman","عجمان","AE","","Ajman","United Arab Emirates","1"
"66","Umm al Qaywayn","أم القيوين","AE","","Umm al Qaywayn","United Arab Emirates","1"
"65","Ras al Khaymah","راس الخيمة","AE","","Ras Al Khaymah","United Arab Emirates","1"
"64","Dubai","دبي","AE","","Dubai","United Arab Emirates","1"
"63","Ash Shariqah","الشرقية","AE","","Ash ShƒÅriqah","United Arab Emirates","1"
